,cathegory,author,title,Publish date,article_content,images descriptions,sentiment
0,Climate change,Tom Espiner,Major investor will target bosses at firms failing on climate,2022-01-23,"A major UK investment fund has said it will vote to try to get directors kicked out of firms that fail to make good on environmental pledges.
Aviva Investors also wants bosses' pay to be linked to sustainability goals.
It is the latest big investment firm to ramp up the pressure on corporations in a bid to make them clean up their acts.
BlackRock, the world's largest fund, has told the firms it invests in to step up on sustainability or face the consequences.
Aviva Investors, which has Â£262bn of assets under management, set out its expectations in a letter that will be sent to 1,500 firms in 30 countries this week.
The fund said it had broadened its definition of sustainability and would now focus on issues such as biodiversity and human rights, alongside existing priorities like climate change and executive pay.
""We will hold boards and individual directors accountable where the pace of change does not reflect the urgency required,"" said the annual letter from Aviva Investors boss Mark Versey.
Mr Versey said there had been an ""alarming"" 68% decrease in animal and plant species between 1970 and 2016.
""This is of serious concern as ecosystem services provided by the natural world underpin our economies and societies and will increasingly become an important driver of company valuations,"" Mr Versey said, adding that more than half of the world's economic output is ""reliant on biodiversity"".
On human rights, Aviva expects companies it backs to scrutinise the impact they have when doing business, and to take action to stop harm.
Firms will need to give more detailed explanations of how they intend to meet environmental goals, it added.
Mirza Baig, Aviva Investors' head of environmental, social and corporate governance, told the BBC that some companies intentionally set vague targets to avoid being held to account. 
He said Aviva would increasingly use its vote as a shareholder to try to oust directors at firms that had a ""high impact"" on the planet but did little to rectify this.
The fund may also vote against executive pay deals if a firm is falling short, and as a last resort could withdraw its investment.
Last year 280 firms changed their practices after pressure from Aviva Investors, Mr Baig said. However, he urged more big investment firms to use their ""loud"" and ""influential"" voices to drive change.   
""If there was enough pressure being put on businesses then the world would look very different,"" he said.
Big investment funds are increasingly leaning on firms to make them change the way they do business.
Last week Larry Fink, the chief executive of BlackRock, the world's biggest investment fund, denied that the firm was being ""woke"" in calling for stronger climate policies from companies. 
Instead, he said the move made good business sense at a time when the public increasingly expects companies to behave ethically.
He insisted his firm was being capitalist in its outlook, adding: ""Make no mistake, the fair pursuit of profit is still what animates markets; and long-term profitability is the measure by which markets will ultimately determine your company's success.""
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Deforestation', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",2
1,Our Planet Now,BBC News,'Surreal' January wildfire shuts California highway,2022-01-22,"An unseasonal wildfire is raging in California's Monterey County, forcing evacuations and the closure of Highway 1, US officials say.
The National Weather Service (NWS) reported a ""surreal fire behaviour given the wet Oct and Dec"". 
The blaze along the Big Sur Pacific coast, dubbed the Colorado Fire, has scorched about 1,500 acres (607 ha).
Strong winds pushed the fire toward the sea, and flames were seen burning near the famous Bixby Creek Bridge.
Senior forestry and fire protection official Mike Meddles said firefighters from 13 agencies from around California's central coast had been deployed to tackle the blaze, according to KTLA digital channel.
The area where the blaze is burning had ""little or no fire history,"" the NWS's Bay Area branch said in a Twitter post. .
""Anecdotally it seems as though the long term drought is acting like a chronic illness where even recent rains and cold winter weather isn't helping to keep fires from developing,"" the statement said.
Climate change increases the risk of the hot, dry weather that is likely to fuel wildfires.
The world has already warmed by about 1.2C since the industrial era began and temperatures will keep rising unless governments around the world make steep cuts to emissions.
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Colorado Fire burns down toward the Bixby Bridge in Big Sur, California. Photo: 22 January 2022', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",1
2,Tonga volcano and tsunami,athan Amos,Tonga volcano: Plume reached half-way to space,2022-01-22,"An indicator of the great power of last Saturday's volcanic eruption in Tonga is the height reached by its plume.
UK scientists examining weather satellite data calculate it to be around 55km (35 miles) above the Earth's surface.
This is at the boundary of the stratosphere and mesosphere layers in the atmosphere.
Dr Simon Proud, from RAL Space, said these were ""unheard-of altitudes"" for a volcanic plume.
The most powerful eruption in the second half of the 20th Century came from Mount Pinatubo in 1991. Its plume is thought to have climbed to roughly 40km.
However, it's possible today's more accurate satellites would have given a higher altitude for the Philippines event, cautioned Dr Proud, who is affiliated to the UK National Centre for Earth Observation.
To work out the position in the sky of the plume from Tonga's Hunga-Tonga Hunga-Ha'apai volcano, data from three weather satellites - Himawari-8 (Japan) GOES-17 (USA) and GK2A (Korean) - was used.
""Because they're all at different longitudes, we can use the parallax between their views of the eruption to determine altitude. This is a pretty well established technique for storm cloud heights, and should actually work better here as the altitude [and hence parallax] is greater,"" Dr Proud told BBC News.
Only a small part of the cloud is seen to get to 55km. This is most likely water vapour, rather than ash, that was pushed upward at the head of the updraft. The main umbrella of the plume is at 35km. A lower plume feature is evident in the lowest layer of the atmosphere - the troposphere.
The so-called KÃ¡rmÃ¡n line, which is often quoted as the atmospheric boundary with outer space, is at 100km.
US space agency scientists calculated the explosive force to be equivalent to 10 megatons of TNT, which would have made the Tonga event 500 times as powerful as the nuclear bomb dropped on Hiroshima, Japan, at the end of World War Two. 
Prof Shane Cronin, from Auckland University, New Zealand, believes a special set of conditions came together at the underwater volcano to drive a big explosion.
A key factor, he said, was the depth below the ocean surface at which gas-rich magma came into contact with seawater - at just 150-250m.
""When the magma came out, there was not much pressure on it [from the water above],"" he told the BBC's Science In Action programme on World Service Radio.
""The gases expanded and blasted the magma apart. And then, as those little fragments of hot magma at 1,100 degrees encountered the cold seawater at 20 degrees, it flashed the seawater around those particles into steam. And when you do that, when you flash water into steam, you basically expand the volume by 70 times. So you supercharge your eruption.""  
Early data suggests the Tonga event could have measured as high as five on the volcanic explosivity index (VEI). This would certainly make it the most powerful eruption since Pinatubo, which was classified at six on the eight-point scale.
The Philippines volcano famously dropped Earth's average global temperature by half a degree for a couple of years. It did this by injecting 15 million tonnes of sulphur dioxide into the atmosphere. SO2 combines with water to make a haze of tiny droplets, or aerosols, that reflect incoming solar radiation. 
However, Dr Richard Betts, the head of climate impacts at the UK Met Office, said Hunga-Tonga Hunga-Ha'apai would not have the same effect.
""Pinatubo did have a noticeable effect, but the Hunga-Tonga volcano's emissions were more than 30 times smaller at less than half a million tonnes of sulphur dioxide, so we don't expect that to have a cooling effect, even though it made a huge bang when it went off,"" he explained. 
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Presentational white space', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",3
3,Climate change,Helen Briggs,False banana: Is Ethiopia's enset 'wondercrop' for climate change?,2022-01-21,"Scientists say the plant enset, an Ethiopian staple, could be a new superfood and a lifesaver in the face of climate change.
The banana-like crop has the potential to feed more than 100 million people in a warming world, according to a new study.
The plant is almost unknown outside of Ethiopia, where it is used to make porridge and bread.
Research suggests the crop can be grown over a much larger range in Africa.
""This is a crop that can play a really important role in addressing food security and sustainable development,"" said Dr Wendawek Abebe of Hawassa University in Awasa, Ethiopia.
Enset or ""false banana"" is a close relative of the banana, but is consumed only in one part of Ethiopia.
The banana-like fruit of the plant is inedible, but the starchy stems and roots can be fermented and used to make porridge and bread.
Enset is a staple in Ethiopia, where around 20 million people rely on it for food, but elsewhere it has not been cultivated, although wild relatives - which are not considered edible - grow as far south as South Africa, suggesting the plant can tolerate a much wider range.
Using agricultural surveys and modelling work, scientists predicted the potential range of enset over the next four decades. They found the crop could potentially feed more than 100 million people and boost food security in Ethiopia and other African countries, including Kenya, Uganda and Rwanda.
Study researcher Dr James Borrell, of the Royal Botanic Gardens, Kew, said planting enset as a buffer crop for lean times could help boost food security.
""It's got some really unusual traits that make it absolutely unique as a crop,"" he said. ""You plant it at any time, you harvest it at any time and it's perennial. That's why they call it the tree against hunger.""
Ethiopia is a major centre of crop domestication in Africa, home to coffee and many other crops.
Climate change is predicted to seriously affect yields and distribution of staple food crops across Africa and beyond.
There is growing interest in seeking new plants to feed the world, given our reliance on a few staple crops. Nearly half of all the calories we eat come from three species - rice, wheat and maize.
""We need to diversify the plants we use globally as a species because all our eggs are in a very small basket at the moment,"" said Dr Borrell.
The research is published in Environmental Research Letters.
Follow Helen on Twitter.
Have you changed your diet because of climate change? How else are you preparing for rising global temperatures? Share your experiences by emailing haveyoursay@bbc.co.uk.
Please include a contact number if you are willing to speak to a BBC journalist. You can also get in touch in the following ways:
If you are reading this page and can't see the form you will need to visit the mobile version of the BBC website to submit your question or comment or you can email us at HaveYourSay@bbc.co.uk. Please include your name, age and location with any submission. 
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","[""Banner saying 'Get in touch'"", 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",1
4,Climate change,BBC News,New transport blueprint unveiled for Scotland,2022-01-20,"A mass transit network in Glasgow and bridges or tunnels to some of Scotland's islands are among the ideas in the Scottish government's new transport strategy. 
Ministers have made 45 recommendations to guide transport investment decisions over the next 20 years.
Improving public transport links in the biggest city regions is at the heart of the blueprint.
Schemes to encourage more people to walk and cycle are also prioritised. 
The Scottish government hopes that shifting the priorities of transport spending to greener projects will help tackle climate emissions in the coming years. 
The strategy does not give timescales or funding commitments for its recommendations.
The ideas to be explored over the next two decades include: 
Michael Matheson, the cabinet secretary for transport, said: ""The investment decisions we make now have never been more important. 
""A green recovery from Covid-19 will set us on a path to delivering a fair and just transition to Net Zero. 
""This review represents a repositioning of our transport investment priorities - the focus is firmly on how transport can help us protect our climate and improve lives. It takes a balanced and fair approach to all modes of transport, and all areas of Scotland.""
The idea of a city-wide metro system in Glasgow was first proposed in 2019 and would involve reviving abandoned rail routes, converting heavy rail to light rail and developing on-street trams.
Scottish Labour and Glasgow MSP Pauline McNeill said: ""Today's announcement failed to provide answers on what the Glasgow metro project will look like, when work will begin and how the work will be funded. 
""Glasgow is in desperate need of investment to help it recover from the pandemic and make up for the chronic lack of investment over the last 15 years.""
A spokesman for Glasgow Airport said the new transit system would ""have a transformative effect in reducing carbon emissions, boosting public transport and alleviating congestion on the M8, one of Scotland's busiest sections of road.""
Colin Howden, director of the Transform Scotland lobby group, said: ""Scottish transport spending has in recent years been massively skewed towards high-carbon road-building. 
""So today's focus on active travel, decarbonised public transport and new light rail in the cities is a welcome change of course.""
On the proposed studies into bridges or tunnels for the Sound of Barra and Sound of Harris, Mr Howden added: ""I doubt any of these suggested crossings will ever be built. They look as improbable as Boris Johnson's failed Irish Sea Bridge proposal.""
Meanwhile, it has been revealed nearly Â£900,000 of taxpayers' money was spent on a study commissioned by Boris Johnson which found it would be too expensive to build a bridge or tunnel between Scotland and Northern Ireland.
The UK government Department for Transport said the research into the feasibility of a fixed link - which was later dismissed as ""impossible to justify"" - cost Â£896,681.
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['ScotRail train in countryside', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",2
5,Climate change,BBC News,"Liverpool Council funding airport at odds with climate aims, councillor says",2022-01-20,"Liverpool's council must stop funding the city's airport because doing so is ""incompatible"" with its effort to fight climate change, a councillor has said.
In a motion to the Labour-led council, Green member Anna Key said supporting Liverpool John Lennon Airport (LJLA) was not in line with the authority's climate emergency declaration in 2019.
She also called for opposition to LJLA's ""potential future expansion"".
An airport spokesman said it had its own plans to be carbon neutral by 2040.
Liverpool City Council said it had a 10% stake in LJLA.
The Local Democracy Reporting Service said in her motion, St Michael's ward councillor Ms Key stated that since 2019 the authority had ""begun to develop policies which seek to address the negative impacts of climate change on the city"" and aimed to be carbon neutral by 2030.
She said LJLA's plan to expand its business by 2050 included a number of ""consequences"", such as an increased number of flights, reduced green space and a new road to carry freight and passenger traffic, which were ""incompatible with these aims and should be opposed"".
As a result, Ms Key said councillors should request that Mayor Joanne Anderson and the cabinet ""remove all financial support"" from LJLA and set out ""the council's opposition to its masterplan, which sets out the proposals for potential future expansion"".
The motion also calls on the council to get planners to ""undertake an urgent evidence-based review of all policies relating to green space and the environment... to ensure sufficient policy protections for green belt land are set"".
The motion will go before a full council meeting on 26 January.
An LJLA spokesman has previously said that while the timescale for its expansion plans were ""likely to slip"" as a result of the Covid-19 pandemic, they remained ""valid"".
He said the airport ""naturally recognises its wider environmental responsibilities"" and had its own plans to reach net carbon zero by 2040, which include the installation of a solar farm to generate about a quarter of LJLA's annual energy needs.
The airport was also ""working with airlines, aircraft and engine manufacturers and others"" to create ""a roadmap for the wider aviation industry to be carbon neutral by 2050"", he added.
Why not follow BBC North West on Facebook, Twitter and Instagram? You can also send story ideas to northwest.newsonline@bbc.co.uk
Information about BBC links to other news sites
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Presentational grey line', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",3
6,Climate change,Louise Cullen,Stormont energy plan 'will create jobs and lower bills',2022-01-20,"Northern Ireland's first energy strategy action plan has been published by the Department for the Economy.  
It outlines 22 actions for 2022, as the first step to reduce energy-related emissions by 56% by 2030.  
Economy Minister Gordon Lyons said it will create jobs and lead to lower costs for consumers.
About a third of the actions outlined in the plan aim to replace fossil fuels with renewable energy.  
""We will take an energy efficiency-first approach which will help consumers reduce the energy they use and therefore minimise their energy bills,"" Mr Lyons said.
""The action plan maps out the best route to ensuring people will live and work in more energy efficient buildings, whilst helping some of the most vulnerable in society to live in warmer homes, reduce ill health and ultimately save lives.""
Energy - in the form of power, heating and transport - accounts for almost 60% of Northern Ireland's greenhouse gas emissions.  
The actions outlined in the plans range from a geothermal project and studying the future role of biomethane, to low carbon heat technologies for homes and businesses.  
And there are detailed plans around the creation of a one-stop shop for consumers, where they can get advice and guidance on support to become more energy efficient and help reduce emissions. 
There is also a new Â£10m Green Innovation Challenge Fund which will be launched in April.  
Northern Ireland's energy strategy promised publication of an action plan early in the new year, and it's delivered 22 actions for 2022.  
If all, or even most, of those actions are achieved over the coming 12 months, the power picture in Northern Ireland will be starting to look different by this time next year.  
But there are some potential stumbling blocks along the way - first and foremost of course, is money.  
While the innovation fund, we're told, is ready to start from the beginning of the next tax year, other ideas will cost money.  
And the finance minister has already prioritised health.  
There is also the court of public opinion that will judge these actions - there is already opposition to gas storage, but hydrogen will need to be stored somehow, somewhere, when it's being produced in quantity.  
Overall, the actions outlined in the plan show the urgency of the work required over the next crucial decade, if Northern Ireland is to make any kind of dent in reducing its emissions by 2030.  
While the energy plan is being produced by the Department for the Economy, officials say almost every executive department will have a part to play.
Those roles include the Department for Communities in addressing fuel poverty, Infrastructure in supporting the expansion of the electric vehicle network and Department of Finance in providing the money. 
Meanwhile, NIE Networks has announced it will be creating at least 110 jobs, as part of a Â£50m investment in the electricity network.  
Recruitment has already started for some of the new posts, which include apprenticeships and graduate jobs as well.  
The additional funding was approved by the Utility Regulator, and will be focused on green energy over the next three years.  
That will cover the roll-out of new infrastructure to support customers who are moving to low-carbon technologies, like heat pumps for domestic heating and electric vehicles.  
Paul Stapleton, managing director of NIE Networks, said the investment was in line with the aims of the energy strategy.
A target of generating 70% of power from renewable sources has been set for 2030.  
Almost half of Northern Ireland's electricity is already generated from renewable sources, mainly wind.  
""We need to do more of that,"" said Mr Stapleton.  
""We also need more solar but there's also newer solutions emerging, such as geothermal, tidal, off-shore wind. Hydrogen will have a role to play.
""And all of those technologies will be interdependent in some way with the electricity network, so we have a critical role to play to ensure all of those solutions can come together to form an integrated, sustainable energy system.""
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Solar panels, photovoltaic - alternative electricity source - stock photo', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",2
7,Climate change,Beth Timmins & Daniel Thomas,Inflation: Seven reasons the cost of living is going up around the world,2022-01-20,"From buying groceries to heating our homes, the cost of living is rising sharply - not just in the UK but around the world. 
Global inflation - the rate at which prices rise - is at its highest since 2008. Here are some of the reasons why.
Oil prices slumped at the start of the pandemic, but demand has rocketed back since, and have hit a seven-year high.
In the US gasoline currently costs an average of $3.31 a gallon - up from $2.39 a gallon a year ago. It's a similar story in the UK and the EU.
The price of gas has also shot up, leaving people around the world with eye-watering central heating bills. 
Demand from Asia has driven up prices, along with a cold winter in Europe last year, which depleted gas reserves. 
The price of many everyday consumer goods jumped during the pandemic. 
Consumers stuck at home during lockdown last year splashed out on household goods and home improvements because they couldn't go to restaurants or on holiday. 
Manufacturers in places such as Asia - many of which faced shutdowns due to Covid restrictions - have struggled to keep up with demand since then. 
It's led to shortages of materials such as plastic, concrete and steel, driving up prices. Timber cost as much as 80% more than usual in 2021 in the UK and reached more than twice its typical price in the US.  
Major US retailers Nike and Costco have put up their prices because of higher supply chain costs. 
And there's a shortage of microchips, which are vital components in cars, computers and other household goods. 
Global shipping companies - which move goods around the world - have been overwhelmed by surging demand after the pandemic.
It's meant retailers have had to pay a lot more to get those goods into stores. As a result, prices have been passed on to consumers.  
Sending a single 40ft container from Asia to Europe currently costs $17,000 (Â£12,480) - 10 times more than the year before, when it was $1,500 (Â£1,101).
It's been accompanied by a rise in air freight fees and made worse by a lorry driver shortage in Europe.
Transport bottlenecks appeared to be easing in December, with the US starting to get on top of record congestion at its ports. 
But Omicron and the emergence of future Covid variants could reverse these gains.
Many people quit the workforce or changed jobs during the pandemic. 
In the US, April saw more than four million people quit their jobs, according to the Department of Labor - the biggest spike on record.
As a result, firms are having problems recruiting staff such as drivers, food processors and restaurant waiters.
A survey of 50 major US retailers suggested 94% were having trouble filling empty roles.
As a result companies are having to put up wages or offer signing-on bonuses to attract and retain staff. McDonald's and Amazon are offering hiring bonuses ranging from $200 to $1,000.
Those extra employer costs are again being passed on to consumers. Global clothing brand Next have blamed planned price rises for 2022 partly on climbing wage costs.
Extreme weather in many parts of the world has contributed to inflation.
Global oil supplies took a hit from hurricanes Ida and Nicholas passing through the Gulf of Mexico and damaging US oil infrastructure. 
And problems meeting the demand for microchips were worsened after a fierce winter storm closed major factories in Texas last year. 
The cost of coffee has also jumped after Brazil, the world's largest producer, had a poor harvest following its most severe drought in almost a century.  
More costly imports are also contributing to higher prices. New post-Brexit trading rules are estimated to have reduced imports from the EU to the UK by about a quarter in the first half of 2021. 
Roaming charges are returning for many UK travellers visiting Europe this year. 
Separately, US import tariffs on Chinese goods have almost entirely been passed on to US customers in the form of higher prices. 
Chinese telecoms giant Huawei said last year that sanctions imposed on the company by the US in 2019, were affecting US suppliers and global customers. 
Governments worldwide are unwinding support given businesses to help with the impact of coronavirus.
Public spending and borrowing increased across the world during the pandemic. This led to tax rises that have contributed to the cost-of-living squeeze, while most people's wages remain unchanged. 
Many developed economies have had policies designed to protect workers - such as furlough - and welfare policies to protect the lowest paid. 
Some economists suggest these policies could also push inflation higher as the support measures draw to a close.  
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Money changing hands at Walthamstow market, November 2021', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",1
8,Climate change,BBC News,Cornwall's rockpool species 'threatened by climate change',2022-01-20,"A study has found many rockpool species are threatened by climate change and would not survive crossing the English Channel's currents.
The University of Exeter's study focused on the St Piran's hermit crab, which reappeared in Cornwall in 2016.
It had not been seen in England since 1985 and was found to have travelled on ""freak"" currents from South Brittany in France, searching for a cooler climate.
Rising sea temperatures put many of England's rockpool species at risk.
Christophe Patterson, from the Centre for Ecology and Conservation on Exeter's Penryn Campus in Cornwall, said: ""We modelled how ocean currents could carry larvae from Brittany to the south-west UK, and we found very few opportunities for this to happen.
""Only once in every 10 years would the currents be suitable for the tiny St Piran's crab larvae to cross the Channel, and even on these currents, the time it takes for larvae to be carried to the UK is much longer than most other species' larvae can survive.
""Other groups like sea snails, sponges and seaweed just don't live for long enough in open water to get here.""
The study focused specifically on the tiny crab clibanarius erythropus, which is usually found in the Mediterranean, the Black Sea and eastern Atlantic.
The BBC's Springwatch show ran a competition to give the species a common name, with viewer's choosing ""St Piran's crab"" after Cornwall's patron saint.
Follow BBC News South West on Twitter, Facebook and Instagram. Send your story ideas to spotlight@bbc.co.uk.
Information about BBC links to other news sites
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['presentational grey line', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",1
9,Climate change,athan Amos,A68: 'Megaberg' dumped huge volume of fresh water,2022-01-20,"The monster iceberg A68 was dumping more than 1.5 billion tonnes of fresh water into the ocean every single day at the height of its melting.
To put that in context, it's about 150 times the amount of water used daily by all UK citizens.
A68 was, for a short period, the world's biggest iceberg.
It covered an area of nearly 6,000 sq km (2,300 sq miles) when it broke free from Antarctica in 2017. But by early 2021, it had vanished.
One trillion tonnes of ice, gone.
Researchers are currently busy trying to gauge the impact A68 had on the environment.
And a team led from Leeds University has been back through all the satellite data to calculate the behemoth's changing dimensions as it moved north from the White Continent, through the Southern Ocean and up into the South Atlantic.
This has enabled the group to assess varying melt rates during the course of the megaberg's three-and-a-half-year existence.
One of the key periods, obviously, was towards the end, as A68 approached the warmer climes of the British Overseas Territory of South Georgia.
This video can not be played
For a while, there were fears the giant block could ground in the surrounding shallows, blocking the foraging routes of millions of penguins, seals and whales.
But it never quite happened because, as the team can now show, A68 lost sufficient depth of keel to stay afloat.
""It does seem that it briefly touched the continental shelf. That's when the berg took a turn and we saw a small piece break off. But it wasn't enough to ground A68,"" lead author Ms Anne Braakmann-Folgmann from the Nerc Centre for Polar Observation and Modelling at Leeds told BBC News.
""And I think you can see why in the thickness estimates,"" added co-author Prof Andrew Shepherd. ""By that stage the berg's keel was 141m, on average, and the bathymetry (depth) charts in the area showed 150m. It was a close call in the end.""
By April 2021, A68 had broken into countless small fragments that were beyond tracking. But its ecosystem impacts will have been much longer-lived. 
Giant tabular, or flat-topped, bergs are now recognised to have considerable influence wherever they roam. 
Their freshwater inputs will alter local currents. And all the iron, other minerals, and even organic matter picked up through their lives and subsequently dropped into the ocean will seed biological production.
The British Antarctic Survey managed to place some robotic gliders in the vicinity of A68 to monitor conditions before the ice mass totally wasted away. 
The data retrieved from these and other instruments, although not yet fully analysed, was revealing some interesting features, said biological oceanographer Prof Geraint Tarling.
""We think there's a really strong signal in the changing flora of the phytoplankton species around A68, and also in the actual deposition of material to the deeper parts of the ocean. The particle sensor on the glider was picking up some very strong signals of deposition coming from the berg,"" he told BBC News.
Details of A68's changing shape and freshwater fluxes are contained in a paper published in the journal Remote Sensing of Environment. 
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Berg', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",2
